Series Name,Series Code,Country Name,Country Code,2007 [YR2007],2010 [YR2010],2013 [YR2013]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.087857642,0.302936388,0.693183411
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.322334855,1.578573584,1.662184826
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,3.195864593,3.30716434,3.51478009
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,nd,nd,nd
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,ADO,6.350868305,6.12477049,6.473847856
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,1.311096483,1.369338878,1.384496389
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,5.561524699,6.011268671,5.827426793
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Arab World,ARB,4.136145355,4.67250581,4.700368864
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,4.382704081,4.558611742,4.46229798
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,1.694755259,1.422998378,1.837058919
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,25.61371495,24.18270225,8.515395303
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,17.86526004,16.92095367,16.34730205
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,8.405092793,8.110593007,7.360055782
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,3.5553401,3.388225879,3.785068836
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahamas, The,BHS,4.939203936,6.829321287,8.229959163
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,26.00129071,23.10119962,23.68257416
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,0.302930323,0.395682597,0.438735966
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Barbados,BRB,4.939722039,5.286054098,5.127255286
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belarus,BLR,6.330945084,6.602532034,6.736650116
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,9.744777191,9.889429352,8.371639275
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belize,BLZ,1.536093806,1.676100482,1.5022008
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Benin,BEN,0.516298739,0.535215995,0.561654398
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bermuda,BMU,11.24603933,8.784042749,5.585037153
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bhutan,BTN,0.575767714,0.677145031,1.171088881
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bolivia,BOL,1.306163693,1.53287018,1.894511704
