Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,83.79468367,87.03116614,91.65791058,103.1358714,117.8428256,121.7047543,91.7968817,98.26248566,101.8649561,109.7601903,114.6637038,120.9521081,125.4162812,146.6251044,166.7163693,161.1695682,164.2900545,189.9161192,209.7919773,228.4768535,271.9231669,275.9171675,279.6578196,297.1600163,282.3184569,302.5110887,316.8461137,347.425081,361.4495257,353.2558419,375.1520193,309.3279361,323.5247922,307.4110432,353.2924952,381.5274622,408.2417747,424.0864738,421.8215901,451.0891442,452.4135847,460.8261999,480.6214422,557.8973659,640.6005222,729.000727,816.7337762,1018.128838,991.5153758,1090.360604,1345.721383,1461.377479,1447.451947,1456.201628,1576.817669,1598.259034,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,88.68945339,97.14114749,99.57580239,101.2601481,99.50333117,105.7873098,111.653724,121.6526563,121.5169649,133.5645355,138.245986,131.7702327,93.05100245,117.7819065,179.1641755,272.9701785,138.7232244,128.942513,172.6062003,196.6780059,222.9242646,242.2224312,215.7421858,199.6916194,208.9325984,239.5138363,227.8791364,247.5620475,263.7341157,278.3516037,298.144992,285.296976,285.6978098,292.3645263,291.3258679,320.3619277,383.8299551,390.4079054,396.1696495,398.2295463,406.5317405,403.5945462,401.7081533,434.0465632,462.2748798,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1086.800087,1211.701531,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,82.54078161,88.16560344,89.83090611,93.98173641,103.5285816,115.7296729,123.8941798,138.1453228,146.9698742,152.6710795,172.6003993,177.6172766,151.7593627,100.2959575,135.2324555,169.7820968,193.8212922,213.181881,243.4304061,260.7704067,303.4340304,348.246538,368.2954024,332.6032167,349.3016508,337.9254445,335.0491717,339.2774092,379.3378198,384.2988124,371.8177009,410.8302765,428.0656441,441.5721331,434.0301412,494.5852085,503.749452,484.5586947,471.1023571,465.9272423,534.915837,511.8111261,501.1854545,565.3238448,652.020213,714.03681,876.9511089,953.795686,1042.801705,1009.799319,1043.300205,1229.848829,1264.900909,1276.092448,1320.55355,1434.696665,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,342.0162679,359.2909349,374.4454987,403.8241407,463.8963605,489.2026969,528.9442457,559.9120025,600.5617871,644.8579042,683.1022164,729.7321401,814.3117918,964.8753676,1218.073127,1445.712432,1421.6511,1271.817159,1552.692161,1987.638358,2803.318847,3524.741488,2394.564468,2008.095637,2319.457881,2385.757898,1639.74045,1740.869082,2227.405074,2657.600352,3068.702312,3600.04513,4080.452034,5544.932656,5690.67454,3640.833541,4131.80573,4907.333119,5038.629598,5722.122144,6649.716383,6952.289348,7023.787376,6673.1667,7115.121769,7893.962197,8666.335353,9222.883991,9578.570562,7661.208405,8861.49372,9730.277761,9720.561674,10198.6473,10353.44798,9005.024265,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,239.4286849,437.1295335,593.6535764,401.8749146,97.15788496,98.03186907,142.9658898,144.1486585,189.2605154,229.9548047,288.020278,337.0500631,361.2544884,360.600798,374.4764199,433.3337078,448.8822788,477.1058763,530.8618505,606.9043783,699.4997775,796.6715738,919.2092656,1164.612525,1232.369674,1333.583524,1542.670436,1754.547974,1907.564382,2052.319084,2111.138024,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,255.6182682,280.1534187,308.5977287,328.5084121,386.216477,445.1242012,511.970548,505.1467873,454.1873934,494.5840544,557.093443,604.8877303,653.0061525,760.9806893,934.3080722,1108.156145,1019.681163,910.2851012,757.7292887,943.1425517,1044.640009,1216.752877,1195.754596,929.5398,921.4686743,846.7060299,762.3545894,1012.252588,738.3780249,1052.913599,1210.005978,1555.980795,1589.441714,1516.467103,1900.224374,2217.784589,2260.637548,2342.069707,2202.461576,1963.410721,1996.719997,1981.243653,2059.193267,2180.251078,2448.144438,2754.780428,3171.496467,3611.204854,4208.868019,4166.085342,5021.249374,5770.327778,6386.374449,6580.979053,6490.18119,6027.125855,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,245.1974513,268.0974023,283.9175203,268.3244282,322.4722041,302.454089,276.4887517,281.9699165,283.1111284,298.0523648,326.2903148,345.8511021,374.6244668,435.7328696,510.9888608,529.0887548,605.8189813,751.6258412,877.7964296,1030.497757,1204.154951,1282.364438,1342.468309,1304.601258,1260.39596,1125.202008,1103.338567,1125.261114,1189.14075,1175.93268,1175.149339,1181.081508,1385.866438,1541.712284,2218.784589,2470.683425,2553.549558,2759.95289,2509.139825,2164.432929,2472.19777,2395.856551,2355.725743,2246.257686,2740.249827,3386.025444,3709.076914,4674.21171,5433.706412,5148.411344,6250.6545,7227.77083,7885.061292,8030.690861,7918.0789,6056.147717,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,254.4270907,267.1477643,156.6821375,168.0169732,175.9311921,187.1130196,199.9355553,207.4273248,224.6233051,241.702003,186.7687495,201.0337488,211.4010317,258.3627432,343.2416947,360.6713346,402.6633185,450.1249996,506.085104,596.3953137,684.6544111,731.7250081,741.7871342,645.4602425,594.0255201,565.7634361,535.237341,579.2063362,643.8241459,704.9902381,715.3106777,715.1252434,814.0325684,815.6645634,939.1022023,1061.347899,1159.730934,1127.345617,967.1935906,1087.958344,1039.701796,958.011579,1000.777728,1011.286644,1080.086184,1196.539849,1395.212633,1678.851988,1929.132897,1836.87412,2145.240007,2371.853537,2604.655997,2786.014701,2873.088189,2904.202082,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,50.54560942,52.0755354,55.32309208,47.12825183,46.27792263,67.42472973,81.68982417,74.46393163,67.00970133,67.11324459,72.24302886,72.16585254,82.00804265,76.22516982,93.48559737,118.3603705,106.7549576,99.35477611,112.7394159,127.1955975,130.6854351,149.3429294,153.5924602,153.2957743,157.996505,156.7465266,166.790976,169.2554958,195.1840635,192.7888697,193.5557994,203.8472967,172.0775865,180.1850079,194.9610926,205.7465272,206.4409708,219.6310635,212.3742546,215.8966735,231.4329676,248.8329359,246.8035835,254.553804,288.669767,318.7480617,350.608465,396.1697728,476.5565582,483.4034115,595.4275198,693.5503705,698.4098897,696.732684,703.1825707,743.3229657,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1435.210963,1627.274553,1497.321977,1597.387987,1906.809723,2059.600662,2275.577548,2879.49987,3071.627953,3942.403941,2578.207009,2774.174127,3482.529816,4827.152443,5144.64366,5260.463813,5065.336705,3461.612858,3728.50801,3135.155229,2805.717257,3040.506496,3596.22458,4730.653468,5808.340547,7246.870105,8706.819142,8474.881066,11121.42095,13039.12165,12157.30822,12071.77799,11728.79939,8538.589975,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,111.3424797,109.4737899,109.5127427,117.8701325,123.6856208,134.3041758,138.7595516,143.8074657,156.8261427,141.8240636,102.3045046,135.3166645,68.95897831,93.99376022,77.82019898,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,253.1931946,269.567076,321.7746398,318.1495354,303.6859047,268.0430434,294.865212,299.5622376,319.6924597,337.8042535,361.0703476,407.0849062,472.4488559,537.8485827,629.2828776,742.9429233,735.4075239,782.6927899,879.1512441,946.4766787,1024.60887,1094.576688,1158.689904,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,222.2669606,209.3518355,199.1730118,209.6175194,226.719814,454.6654658,449.3984329,458.7800829,450.5709731,527.5000328,471.3865364,440.7576814,495.5875629,588.5972465,970.7355723,1106.518162,1266.390725,1495.252943,1574.561037,1823.72323,2241.788882,2665.31225,2374.598823,1993.034709,1916.704672,1895.770307,1651.493678,1467.301999,1340.142383,1392.2321,1491.402557,1623.989557,1690.154667,1729.373709,2028.198277,2135.634119,2159.150629,2361.59952,2300.407505,1584.463443,1451.290776,1903.741868,2183.967465,2440.469164,2708.558293,3021.942767,3350.784142,3590.711513,4274.940821,4255.555563,4657.301737,5223.377575,5702.168288,6074.181971,6432.295813,6205.064145,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,152.4617632,162.695619,174.4934315,184.2754408,203.6012515,223.2783299,239.375089,255.8479061,210.1897929,218.5560983,225.748499,238.1114415,267.6865801,263.2105572,428.4324268,480.0505726,533.6275535,616.667074,702.4291799,808.4191206,811.7773315,1031.516342,958.6872467,909.8474557,1013.800438,865.69025,624.71542,672.5651749,697.3705601,701.4646141,709.9486541,764.1413321,791.381317,788.3991365,806.2211259,887.4682897,958.4735178,1006.964099,1058.718354,1012.510021,1007.002869,958.2363141,913.5758534,917.3643105,978.3347576,1046.427843,1233.592974,1389.629295,1736.92741,1776.860912,1981.166313,2377.70694,2645.291999,2948.032472,3124.085434,3076.791811,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,202.9434641,207.7008445,223.942252,205.0033993,232.5103291,233.9495665,242.173582,242.9136122,247.1611913,253.3479607,270.4403309,203.3416396,165.1281267,125.1288855,133.8986024,144.692935,141.0535555,124.6775752,119.2999888,124.0509505,120.3531152,111.5311693,119.0586588,135.9763619,161.8769539,194.0779937,243.6288455,325.7949007,380.264841,341.8589562,355.5889915,469.7923039,503.9026066,573.5659603,619.1694065,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,nd,nd,nd,nd,nd,184.3191092,189.1565216,197.2083622,202.9063391,212.524407,221.8009194,240.2216987,268.5257127,334.4599341,440.4658893,484.3808101,538.4504953,651.48519,780.1060189,1013.134644,1287.422009,1595.473086,1505.156642,1511.177387,1139.99646,807.836239,910.5165282,972.4312272,1022.105834,1120.875394,1351.578779,1615.479607,1614.673376,1596.144879,1692.239625,1903.467994,2009.649903,2000.910277,1773.24128,1614.903727,1545.625548,1417.26032,1148.229049,1174.779765,1408.527483,1507.145951,1809.710231,2312.192538,3059.985099,2599.592016,3225.591754,3988.024567,3855.572185,4479.955052,4712.870205,4080.951448,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,92.81186753,96.81156381,104.1940164,107.3292194,112.9337306,116.9305302,124.0210799,99.16667552,96.95829504,120.9311692,223.5068045,159.8115435,208.6445369,251.5179124,401.6785825,437.0120867,554.9527958,534.4482794,525.4882577,659.8775375,871.145818,806.5078396,661.2323763,444.6490921,348.526326,344.1410837,240.6173966,272.5077315,256.3758413,260.04757,321.6683709,279.2757823,291.2834845,153.0756655,171.0247982,263.2880379,314.7399021,314.2998494,273.8697972,299.3567659,377.5002693,350.2601822,457.3970476,510.2962953,645.7638712,804.0059952,1014.734742,1131.147695,1376.857449,1091.968527,2314.963537,2514.148622,2739.852189,2979.84415,3203.244296,2640.290739,nd
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,nd,nd,nd,nd,nd,nd,nd,53.51614903,65.02815052,74.5743882,79.68565666,79.15009204,90.84449681,130.9799734,202.4270402,233.0392883,278.1058379,333.5872982,365.8010412,356.8131317,491.4377678,566.4252965,583.5261528,512.84521,525.2291584,516.8677889,474.780924,442.1481147,481.7127391,529.9316248,585.0010179,631.7046852,681.8573537,827.8103472,912.0977029,1026.270533,1137.265672,1063.56795,463.8830025,671.0056343,780.0920781,748.1847468,900.1308045,1065.656548,1150.349295,1263.481441,1590.1779,1860.622626,2167.85765,2262.720786,3125.219945,3647.626636,3700.523525,3631.672694,3499.588735,3346.487039,nd
