Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,India,IND,0.268161407,0.284291728,0.306519469,0.322532993,0.308900447,0.33333065,0.337853982,0.331763432,0.35328108,0.351990681,0.352279914,0.3633376,0.375731112,0.378031307,0.3819147,0.40566208,0.414638121,0.428711208,0.425109743,0.435734342,0.450376957,0.474854905,0.478756391,0.506665544,0.507567776,0.545559262,0.572245856,0.597726136,0.631855196,0.679000523,0.71118005,0.74077609,0.771227449,0.78281903,0.811295811,0.844607384,0.900983176,0.919692544,0.921112842,0.96211498,0.979470339,0.9713261,0.967041941,0.992085712,1.024769587,1.068369345,1.121874735,1.193205418,1.310181881,1.43194797,1.397004578,1.480435644,1.597436189,1.590272829
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05192953,0.066334334,0.066736729,0.068350464,0.076376762,0.077652827,0.078202389,0.08400439,0.093878675,0.09487752,0.100143152,0.093399511,0.10074583,0.110031468,0.11996804,0.120864332,0.134411176,0.130117492,0.14656494,0.146903476,0.159912482,0.153445767,0.163650969,0.192658144,0.198614945,0.202825216,0.190602088,0.196015725,0.212287044,0.242619016,0.247430419,0.25737757,0.267701509,0.276211627,0.300622667,0.302930323,0.334291253,0.359053573,0.395682597,0.414398868,0.434633967,0.438735966
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Pakistan,PAK,0.315164764,0.318710458,0.341775515,0.383224514,0.384123009,0.392814753,0.38943051,0.402522332,0.449399199,0.424313183,0.418937909,0.386601616,0.308586024,0.317725781,0.33016377,0.347640724,0.331859683,0.343733879,0.357061703,0.373803524,0.410748048,0.426315551,0.448114293,0.467213517,0.480541724,0.511863741,0.519427069,0.544594466,0.573981177,0.583144927,0.637181214,0.616832293,0.640665437,0.669140121,0.709570236,0.68910429,0.751384383,0.735075225,0.739796141,0.742716132,0.769974452,0.766430147,0.790758875,0.807428901,0.875777315,0.890970981,0.933241986,0.994536473,0.975314124,0.953850393,0.949141098,0.932851894,0.91920863,0.846439474
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mexico,MEX,1.653382289,1.657749804,1.569744418,1.58230541,1.716861446,1.686277724,1.758943777,1.899698633,1.92231424,2.028579029,2.192453299,2.351828302,2.387510374,2.518930113,2.623226578,2.701918878,2.940564503,2.997426827,3.372164663,3.558567727,3.872060646,4.010245136,4.201876427,3.755968705,3.666408698,3.73113507,3.731456738,3.814730901,3.734559364,4.313120483,3.671223269,3.736513261,3.688685,3.63580804,3.756963236,3.476675418,3.550384382,3.666519746,3.754438468,3.778220651,3.720588299,3.795452375,3.711551504,3.797591662,3.803581325,3.967619346,3.99784272,4.055762037,4.126988108,3.857212382,3.752925507,3.878026944,3.93937292,3.948615246
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Vietnam,VNM,0.215631379,0.225435418,0.258759876,0.247579243,0.314057753,0.343353851,0.490532216,0.574906353,0.578196936,0.648284658,0.6599553,0.560973425,0.515172617,0.547669351,0.406732342,0.453889548,0.283241771,0.30374236,0.299784878,0.309686917,0.313231453,0.323933299,0.330107045,0.340971777,0.304206164,0.359548889,0.383261116,0.420561846,0.366450753,0.270323355,0.324280765,0.319024157,0.313770455,0.330345655,0.370352788,0.404057351,0.473884388,0.606948117,0.629679947,0.622650871,0.691020496,0.777658384,0.89022065,0.978870449,1.111901201,1.191177164,1.233275634,1.24524342,1.386217823,1.568337855,1.6948789,1.842550606,1.781696604,1.700368284
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Peru,PER,0.81237664,0.835064678,0.936144968,0.933682487,1.087323703,1.030818982,1.110111548,1.111856207,1.148357162,1.178698787,1.33309762,1.358234071,1.291432439,1.36754402,1.440066531,1.442245612,1.434922402,1.453208381,1.36197056,1.316022244,1.389559423,1.354678764,1.298740237,1.095947133,1.083421019,0.998319617,1.092604163,1.260661063,1.20076866,1.022078674,0.969896124,0.916292101,0.896708879,1.016070671,0.983534142,0.993527537,0.996827963,1.103907299,1.103458075,1.148533347,1.169087406,1.03441455,1.022016646,0.979310103,1.16948433,1.344989603,1.247831464,1.518240916,1.431999381,1.782824602,1.960733983,1.667776438,1.807797852,1.869883854
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Colombia,COL,0.995718607,1.072742918,1.11098569,1.178780737,1.168263519,1.195438989,1.19168653,1.216834769,1.27261456,1.305148707,1.287534856,1.341150986,1.360066658,1.423460807,1.50691023,1.449945791,1.504107306,1.519168331,1.572806523,1.638778565,1.59911255,1.566771773,1.581777555,1.665689867,1.613838111,1.56001615,1.55040957,1.561896635,1.590434763,1.583188771,1.673025884,1.635914748,1.744983272,1.768803766,1.8350167,1.592181263,1.590776062,1.679619098,1.681617087,1.419215476,1.433620205,1.372902655,1.33889957,1.362245036,1.28898988,1.407985319,1.435823423,1.406899642,1.516399527,1.599902313,1.658683359,1.649130597,1.703772602,1.893127874
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Philippines,PHL,0.317249028,0.321145433,0.368512082,0.395807114,0.428469102,0.452296765,0.505962693,0.555413076,0.65838178,0.657133171,0.692131607,0.748603832,0.697230273,0.808268019,0.760435197,0.787654399,0.827340468,0.842017425,0.835298599,0.827011463,0.780641318,0.711561732,0.698999429,0.688288029,0.586176501,0.516329122,0.523397955,0.570273559,0.641178568,0.648133813,0.674176857,0.69171314,0.749133194,0.742367897,0.80304133,0.869338185,0.870174454,0.9742004,0.927455028,0.906592594,0.94065037,0.892559534,0.877524618,0.862126962,0.875524233,0.868716929,0.772811732,0.811215814,0.873326185,0.846425784,0.91274063,0.905640173,0.95107111,1.006838603
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Nepal,NPL,0.00802172,0.007897483,0.008481014,0.009389558,0.014024922,0.016477112,0.017177699,0.018809886,0.021955927,0.034014631,0.018966755,0.016187921,0.021436227,0.033067049,0.032649977,0.026441758,0.020748464,0.024246763,0.023194277,0.035273289,0.036448159,0.029841766,0.028450029,0.031010579,0.043095976,0.040587615,0.041192704,0.049950727,0.055625176,0.049934992,0.033849192,0.04994219,0.06734544,0.072211028,0.081393486,0.095142538,0.113513167,0.124278736,0.098464496,0.138092159,0.129286447,0.13534257,0.107092031,0.114276265,0.105943417,0.120906633,0.099371901,0.100314964,0.129963427,0.162992082,0.188153369,0.203593022,0.212548674,0.233576269
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brazil,BRA,0.647067792,0.658624758,0.697280743,0.700749314,0.694000898,0.67037227,0.743447849,0.744966531,0.848797467,0.90094202,0.976861083,1.043022036,1.134051462,1.282056059,1.355330722,1.394106345,1.396830539,1.432295134,1.518254074,1.578013854,1.531021008,1.373270556,1.3445549,1.271861926,1.260216376,1.32456548,1.424006917,1.456991513,1.442390789,1.448050239,1.388939574,1.434312838,1.420434655,1.462108834,1.511002399,1.587339242,1.722791601,1.790103371,1.831430313,1.849075569,1.865808376,1.891238736,1.835266279,1.751490659,1.815133482,1.842690495,1.823133072,1.884034471,1.990203014,1.866522375,2.113414545,2.191393564,2.32225814,2.465870235
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cambodia,KHM,0.041012378,0.048708101,0.051110592,0.062885194,0.053880369,0.062371699,0.071236379,0.062436039,0.072309173,0.19498466,0.167104683,0.034788767,0.016006194,0.017162674,0.009699027,0.00971135,0.009868795,0.010155011,0.007352358,0.004317227,0.042574537,0.044386095,0.048576159,0.050957882,0.054943598,0.053988698,0.054155043,0.053033397,0.053269776,0.051703836,0.164852785,0.162040721,0.15830845,0.153538411,0.155104467,0.145041558,0.146717767,0.135829991,0.167576557,0.158936147,0.162037088,0.180862682,0.174068505,0.184469651,0.186533458,0.20840142,0.221776426,0.252413921,0.279755714,0.328995484,0.348992863,0.356822084,0.367880407,0.369653238
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ecuador,ECU,0.388033962,0.352048961,0.325336409,0.362722269,0.420670187,0.4337438,0.447716962,0.465781971,0.543884145,0.609111227,0.705317726,0.676027884,0.714723972,0.795857812,0.895955182,1.053803042,1.129816577,1.01493199,1.376828541,1.565373826,1.685364252,2.039812816,2.298173404,2.272324509,2.409135417,2.148074553,1.647458051,1.59040026,1.773411291,2.031345804,1.646870524,1.577081725,2.08120482,2.210339232,1.219333744,1.996555331,2.070547388,1.539679904,1.846480077,1.733727698,1.640605971,1.798584941,1.908672056,2.029189592,2.150042211,2.203366569,2.066175813,2.244784002,2.344224093,2.448359132,2.549397135,2.611816478,2.624773655,2.779287585
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bolivia,BOL,0.272037723,0.276621295,0.286626494,0.310159434,0.371215692,0.371151111,0.407084848,0.44656968,0.50373838,0.577436614,0.551786663,0.665553985,0.760236181,0.720636406,0.717366156,0.810373151,0.89457664,0.856199953,0.939655385,0.866274904,0.835142834,0.839129259,0.745316773,0.719868684,0.664043162,0.664145932,0.595940954,0.623387096,0.653551374,0.742885591,0.797982453,0.82123772,0.922958891,1.108091975,1.204561642,1.250325769,1.29765447,1.400948435,1.427278992,1.373997368,1.225922572,1.156244814,1.10560774,1.60366373,1.458991452,1.335331528,1.62190482,1.306163693,1.378956858,1.43353757,1.53287018,1.602046012,1.835512438,1.894511704
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ethiopia,ETH,0.015892219,0.015042523,0.017054836,0.017719905,0.016683919,0.025801694,0.032177736,0.040882781,0.064098259,0.060335134,0.058202254,0.063318889,0.046727316,0.056490424,0.05456418,0.037155796,0.035514359,0.031200013,0.04027371,0.053462499,0.051716809,0.051713255,0.039921511,0.048210431,0.042154225,0.044515527,0.052613302,0.059387048,0.059526165,0.060888166,0.062799074,0.059956589,0.057489213,0.056639088,0.040467364,0.044782621,0.048416277,0.050103144,0.051343517,0.048912148,0.053423593,0.063642783,0.064232645,0.068852165,0.071069159,0.066822045,0.069906901,0.074344588,0.079184269,0.077723011,0.075214659,0.085983542,0.092877021,0.112462805
